lsl_time,video_time,frame_idx,gaze_x,gaze_y,px,py,gaze_radius_px,face_id,x1,y1,x2,y2,event
42102.13458,38.349382,957,0.3186,0.3827,611,413,60,1,631,396,806,598,TRUE
42161.16137,97.376173,2430,0.3183,0.4646,611,501,60,1,629,448,781,670,TRUE
42191.53633,127.751127,3188,0.2437,0.4343,468,469,60,1,462,451,634,672,TRUE
42215.53975,151.754554,3787,0.3594,0.4203,690,453,60,1,627,405,778,606,TRUE
42240.06412,176.278924,4399,0.3614,0.4347,694,469,60,3,622,424,777,634,TRUE
42269.6777,205.892501,5138,0.8173,0.435,1568,469,60,2,1248,488,1576,865,TRUE
42312.03433,248.249133,6195,0.6096,0.3908,1170,422,60,1,1128,459,1344,726,TRUE
42349.34183,285.556629,7126,0.7385,0.4588,1417,495,60,1,1260,516,1503,806,TRUE
42402.43789,338.652691,8451,0.7353,0.4636,1411,500,60,1,1192,496,1410,765,TRUE
42424.07704,360.29184,8991,0.6702,0.3994,1286,431,60,1,1175,484,1383,745,TRUE
42498.13102,434.345819,10839,0.8012,0.62,1538,669,60,1,1334,501,1558,781,TRUE
42525.58068,461.795481,11524,0.5846,0.4768,1122,514,60,1,1088,531,1242,762,TRUE
42557.27803,493.492828,12315,0.6583,0.4379,1263,472,60,1,1175,523,1326,752,TRUE
42572.74601,508.960812,12701,0.7473,0.5158,1434,557,60,1,1287,503,1478,756,TRUE
42582.60385,518.818647,12947,0.6874,0.4447,1319,480,60,1,1247,521,1434,781,TRUE
42600.43611,536.650909,13392,0.8279,0.4336,1589,468,60,1,1361,484,1583,748,TRUE
42620.91316,557.127956,13903,0.8543,0.3933,1639,424,60,1,1431,441,1681,730,TRUE
