Tobii_Time,LSL_Time,Event,Type
34.846660863317084,42098.631860863316,sw_Yo1,START
38.25987966046523,42102.045079660464,pb_0,BUTTON
38.349382,42102.13458,Gaze_AOI_60px,AUTO
93.79753851400892,42157.58273851401,sw_Yo2,START
97.376173,42161.16137,Gaze_AOI_60px,AUTO
97.46406371093326,42161.24926371093,pb_1,BUTTON
124.25119278853526,42188.036392788534,sw_Yo3,START
127.751127,42191.53633,Gaze_AOI_60px,AUTO
127.93963858544885,42191.72483858545,pb_2,BUTTON
146.95462386954023,42210.73982386954,sw_Yo4,START
150.6570585664449,42214.44225856644,pb_3,BUTTON
151.754554,42215.53975,Gaze_AOI_60px,AUTO
171.48408294902765,42235.269282949026,sw_Yo5,START
175.71200424548442,42239.49720424548,pb_4,BUTTON
176.278924,42240.06412,Gaze_AOI_60px,AUTO
205.892501,42269.6777,Gaze_AOI_60px,AUTO
244.88196018762392,42308.66716018762,sw_H1,START
248.249133,42312.03433,Gaze_AOI_60px,AUTO
248.30508518476563,42312.090285184764,pb_5,BUTTON
281.8122162567306,42345.59741625673,sw_H2,START
285.556629,42349.34183,Gaze_AOI_60px,AUTO
285.59068305357505,42349.37588305357,pb_6,BUTTON
334.7546377124454,42398.539837712444,sw_H4,START
338.3120418094695,42402.09724180947,pb_7,BUTTON
338.652691,42402.43789,Gaze_AOI_60px,AUTO
356.3668897943644,42420.15208979436,sw_H5,START
359.3091682919112,42423.09436829191,pb_0,BUTTON
360.29184,42424.07704,Gaze_AOI_60px,AUTO
390.9997150653944,42454.78491506539,sw_H6,START
394.85415156216914,42458.63935156217,pb_1,BUTTON
434.345819,42498.13102,Gaze_AOI_60px,AUTO
455.5285070114187,42519.31370701142,sw_H7,START
458.5589500088827,42522.34415000888,pb_2,BUTTON
461.795481,42525.58068,Gaze_AOI_60px,AUTO
482.2165601891029,42546.0017601891,sw_H8,START
485.4625855863778,42549.247785586376,pb_3,BUTTON
493.492828,42557.27803,Gaze_AOI_60px,AUTO
506.06942916913977,42569.85462916914,sw_H9,START
508.960812,42572.74601,Gaze_AOI_60px,AUTO
509.17498746654746,42572.960187466546,pb_4,BUTTON
518.818647,42582.60385,Gaze_AOI_60px,AUTO
533.9225517458472,42597.707751745846,sw_H10,START
536.650909,42600.43611,Gaze_AOI_60px,AUTO
