Tobii_Time,LSL_Time,Event,Type
34.84666086,42098.63186,sw_Yo1,START
38.25987966,42102.04508,pb_0,BUTTON
38.309309,42102.09451,Gaze_AOI,AUTO
93.79753851,42157.58274,sw_Yo2,START
97.376173,42161.16137,Gaze_AOI,AUTO
97.46406371,42161.24926,pb_1,BUTTON
124.2511928,42188.03639,sw_Yo3,START
127.670982,42191.45618,Gaze_AOI,AUTO
127.9396386,42191.72484,pb_2,BUTTON
146.9546239,42210.73982,sw_Yo4,START
150.6570586,42214.44226,pb_3,BUTTON
150.552379,42214.33758,Gaze_AOI,AUTO
171.4840829,42235.26928,sw_Yo5,START
175.7120042,42239.4972,pb_4,BUTTON
175.477474,42239.26267,Gaze_AOI,AUTO
244.8819602,42308.66716,sw_H1,START
248.289,42312.074,Gaze_AOI,MANUAL
248.3050852,42312.09029,pb_5,BUTTON
281.8122163,42345.59742,sw_H2,START
285.396339,42349.18154,Gaze_AOI,AUTO
285.5906831,42349.37588,pb_6,BUTTON
334.7546377,42398.53984,sw_H4,START
338.3120418,42402.09724,pb_7,BUTTON
338.052,42401.837,Gaze_AOI,MANUAL
356.3668898,42420.15209,sw_H5,START
359.3091683,42423.09437,pb_0,BUTTON
359.249955,42423.03516,Gaze_AOI,AUTO
390.9997151,42454.78492,sw_H6,START
393.79245,42457.57765,Gaze_AOI,AUTO
394.8541516,42458.63935,pb_1,BUTTON
455.528507,42519.31371,sw_H7,START
458.55895,42522.34415,pb_2,BUTTON
458.469,42522.255,Gaze_AOI,MANUAL
482.2165602,42546.00176,sw_H8,START
485.4625856,42549.24779,pb_3,BUTTON
485.19782,42548.98302,Gaze_AOI,AUTO
506.0694292,42569.85463,sw_H9,START
508.881,42572.666,Gaze_AOI,MANUAL
509.1749875,42572.96019,pb_4,BUTTON
533.9225517,42597.70775,sw_H10,START
536.570764,42600.35596,Gaze_AOI,AUTO
537.6031142,42601.38831,pb_5,BUTTON
656.6677744,42720.45297,sw_head1,START
678.5144679,42742.29967,sw_eye1,START
696.4850413,42760.27024,sw_eye2,START
752.8276461,42816.61285,sw_closed1,START
787.4439149,42851.22911,sw_closed2,START
822.8424023,42886.6276,sw_H11,START
825.934281,42889.71948,Gaze_AOI,AUTO
826.193871,42889.97907,pb_6,BUTTON
837.436684,42901.22188,sw_H12,START
839.919583,42903.70478,Gaze_AOI,AUTO
840.6039948,42904.38919,pb_7,BUTTON
853.302388,42917.08759,sw_H13,START
856.309235,42920.09444,Gaze_AOI,AUTO
856.6084269,42920.39363,pb_0,BUTTON
864.6492576,42928.43446,sw_H14,START
867.409318,42931.19452,Gaze_AOI,AUTO
867.7070816,42931.49228,pb_1,BUTTON
877.6059931,42941.39119,sw_H15,START
880.27259,42944.05779,Gaze_AOI,AUTO
880.7705888,42944.55579,pb_2,BUTTON
891.8381778,42955.62338,sw_H16,START
894.578472,42958.36367,Gaze_AOI,AUTO
895.0130839,42958.79828,pb_3,BUTTON
907.0197131,42970.80491,sw_H17,START
909.806022,42973.59122,Gaze_AOI,AUTO
910.1821187,42973.96732,pb_4,BUTTON
923.6027865,42987.38799,sw_H18,START
926.436109,42990.22131,Gaze_AOI,AUTO
926.7891773,42990.57438,pb_5,BUTTON
942.1013257,43005.88653,sw_H19,START
944.829386,43008.61459,Gaze_AOI,AUTO
945.4012261,43009.18643,pb_6,BUTTON
957.5367283,43021.32193,sw_H20,START
