LABEL,MENTALAB,FINAL
sw_Move1,539964.3767,
sw_Move2,539974.1948,
sw_Move3,539983.6445,
sw_F1T1,540014.8629,540015.3801
sw_U1,540046.2261,540046.6129
sw_F2T1,540067.7601,540067.9479
sw_U2,540082.201,540081.9834
sw_U3,540093.9919,540094.1362
sw_F3T1,540126.13,540125.9444
sw_U4,540139.8145,540140.018
sw_F2T2,540163.0264,540163.413
sw_F4T1,540207.1088,540207.439
sw_U5,540225.99,540226.1772
sw_F1T2,540245.9612,540245.7285
sw_U6,540259.7133,540259.9546
sw_U7,540273.0899,540273.4909
sw_F1T3,540345.3297,540345.4873
sw_U8,540357.6384,540357.7858
sw_F5T1,540373.5392,540373.5749
sw_F4T2,540394.7464,540394.8302
sw_U9,540411.2043,540411.4087
sw_F5T2,540472.7049,540472.9212
sw_F3T2,540492.4199,540492.464
sw_U11,540506.9196,540507.2684
sw_U12,540522.2574,540522.4606
sw_F2T3,540554.2246,540554.4169
sw_U13,540570.7083,540570.9452
sw_F4T3,540592.0407,540592.2229
sw_U14,540607.1869,540607.3313
sw_U15,540623.1014,540623.4702
sw_F1T4,540637.8202,540638.0885
sw_F4T4,540665.2011,540665.2235
sw_U16,540685.9505,540686.2003
sw_F2T4,540707.402,540707.7252
sw_U17,540723.4013,540723.3549
sw_U18,540794.156,540794.373
sw_F5T3,540821.1684,540820.8206
sw_F4T5,540855.084,540855.1983
sw_U19,540870.5415,540870.5516
sw_F3T3,540892.9707,540893.1524
sw_U20,540911.3142,540911.4108
sw_F2T5,540924.6817,540924.5254
sw_F1T5,540940.6865,540940.836
sw_U21,540973.3554,540973.4322
sw_F4T6,540987.5718,540987.3445
sw_U22,541012.8283,541013.0971
sw_U23,541030.5162,541030.8459
sw_F2T6,541045.6339,541045.8365
sw_F5T4,541070.5708,541070.7028
sw_F4T7,541091.8324,541091.8274
sw_U24,541107.1174,541107.1348
sw_F3T4,541125.7464,541125.931
sw_U25,541141.7609,541141.6945
sw_F1T6,541184.1271,541183.766
sw_F5T5,541198.6625,541198.8576
sw_U26,541219.2624,541219.434
sw_U27,541232.3737,541232.4794
sw_U28,541248.0664,541248.4502
sw_U10,541305.4532,541305.4306
sw_F3T5,541338.5276,541338.7456
sw_U29,541354.6748,541354.8707
sw_F2T7,541370.6657,541370.9361
sw_U30,541383.8458,541384.0386
sw_U31,541399.1591,541399.2385
sw_F3T6,541418.6953,541418.86
sw_F5T6,541434.6926,541434.8782
sw_U32,541447.5068,541447.6597
sw_F4T8,541491.1413,541490.9455
sw_U33,541506.0024,541506.1706
sw_U34,541523.5936,541523.3748
sw_F5T7,541543.5078,541543.758
sw_U35,541576.1091,541575.9078
sw_F3T7,541617.9903,541618.0411
sw_U36,541635.7876,541636.1504
sw_F2T8,541651.8592,541652.0145
sw_F1T7,541665.6913,541665.8063
sw_U37,541681.8056,541682.1048
sw_U38,541697.6534,541697.9559
sw_F5T8,541712.6108,541712.6203
sw_U39,541757.3699,541757.5603
sw_U40,541772.138,541772.1313
sw_F3T8,541786.6038,541786.9657
sw_F1T8,541802.5276,541802.025
