LABEL,FINAL
sw_Move1,113441.3005
sw_Move2,113454.343
sw_Move3,113467.6907
sw_F4,113482.2074
sw_U,113494.3976
sw_F1,113506.1622
sw_F5,113518.2854
sw_U,113528.4705
sw_U,113542.2642
sw_U,113553.5497
sw_F3,113565.1718
sw_U,113577.1338
sw_U,113588.2461
sw_F1,113599.8015
sw_U,113610.6862
sw_U,113621.0934
sw_U,113632.25
sw_F4,113643.9393
sw_F1,113655.4684
sw_U,113667.5188
sw_F2,113678.5437
sw_U,113689.8934
sw_F5,113701.0587
sw_F1,113712.4737
sw_U,113723.7171
sw_F1,113735.7628
sw_F3,113748.0293
sw_U,113760.1654
sw_U,113770.8756
sw_U,113782.3487
sw_F3,113794.8321
sw_F4,113806.2455
sw_F2,113830.1646
sw_F4,113841.8074
sw_U,113853.8958
