LABEL,FINAL
sw_U,115090.1581
sw_U,115101.4282
sw_F4,115113.4298
sw_U,115125.2299
sw_F3,115136.2808
sw_U,115148.9603
sw_U,115160.5306
sw_U,115172.6063
sw_U,115183.3768
sw_F2,115195.093
sw_F4,115206.6824
sw_U,115218.5876
sw_F3,115229.297
sw_F2,115240.6075
sw_U,115252.5378
sw_U,115265.1999
sw_F5,115276.8558
sw_U,115288.9463
sw_F4,115300.1735
sw_U,115311.3998
sw_F5,115323.7112
sw_F2,115336.2089
sw_U,115348.2116
sw_U,115359.9265
sw_U,115371.8088
sw_U,115383.8855
sw_F3,115395.9598
sw_F2,115407.0962
sw_U,115418.8309
sw_U,115430.6814
sw_F1,115441.304
sw_F2,115453.1309
sw_U,115464.8938
sw_F5,115476.9762
sw_U,115488.476
sw_F4,115501.4174
sw_F5,115513.1569
sw_F3,115525.1305
sw_F5,115536.8303
sw_F2,115548.7858
sw_F1,115560.7804
sw_U,115573.2219
sw_F5,115584.3984
sw_U,115596.6482
sw_F1,115607.9828
sw_U,115619.7667
