trial_index,bad_channels
0,"Cz,F8,P7,P8,O2"
1,"Cz,Pz,F7,F8,P7,P8,O2"
2,"Cz,Pz,F7,F8,P7"
3,"Cz,Pz,F8,P7,O2"
4,"Cz,Pz,F7,F8,P7,O1,O2"
5,"Cz,P7,O2"
6,"Cz,Pz,F7,P7,P8,O2"
7,"Cz,Pz,F7,F8,P7,P8,O2"
8,"Cz,P7,O2"
9,"Cz,Pz,F7,P7,O2"
11,"Cz,Pz,F7,P7,P8,O2"
12,"Cz,Pz,F8,O2"
13,"Cz,P7,O2"
14,"Cz,Pz,F7,P7,P8,O2"
15,"Cz,Pz,P7"
16,"Cz,Pz,P7,O2"
17,"Pz,P7,O2"
18,"Cz,Pz,P7,O2"
19,"Cz,Pz,O1,O2"
20,"Cz,P7,O2"
21,"Cz,Pz,P7,O2"
22,"Cz,F8,P7,O2"
23,"Pz,P7,O2"
25,"Cz,Pz,P7,O1,O2"
26,"Pz,F7,F8,P7,O1,O2"
27,"Cz,Pz,P7,O2"
28,"Cz,Pz,O2"
29,"Cz,Pz,F7,P7,O2"
30,"Pz,P7,O2"
31,"Cz,P7,O2"
32,"F7,F8,P7,O2"
34,"Cz,Pz,P7,O2"
