label,lsl_time
sw_Move1,113441.22301536759
sw_Move2,113454.15644706646
sw_Move3,113467.80623527081
sw_F4,113481.97338677911
sw_U,113494.67278437619
sw_F1,113506.158111364
sw_F3,113517.06951984741
sw_F5,113528.53103473503
sw_U,113542.0922829387
sw_U,113553.45321242556
sw_F3,113565.18200711522
sw_U,113576.73731440355
sw_U,113588.19876459117
sw_F1,113599.31799067618
sw_U,113610.47314166147
sw_U,113621.09610034266
sw_U,113632.00326272605
sw_F4,113643.63327931496
sw_F1,113655.22503380358
sw_U,113667.27119949566
sw_F2,113678.15526857888
sw_U,113691.2407431789
sw_F5,113700.85888175243
sw_F1,113712.21790573926
sw_U,113723.33944962428
sw_F1,113735.32282121589
sw_F3,113747.2008885067
sw_U,113759.79285780295
sw_U,113770.71498228646
sw_U,113782.14953057386
sw_F3,113795.20416317366
sw_F4,113805.87463245525
sw_U,113817.78374504628
sw_F2,113829.43227623534
sw_F4,113841.47156992738
sw_U,113853.49450831929
