label,lsl_time
sw_U,115089.31187636436
sw_U,115101.17386249524
sw_F4,115113.16313842643
sw_U,115125.23081565784
sw_F3,115136.33212678674
sw_U,115148.60261801869
sw_U,115160.3635611493
sw_U,115171.65466447869
sw_U,115183.28769850897
sw_F2,115194.96999403936
sw_F4,115206.44762386924
sw_U,115217.5760355982
sw_F3,115228.93154192777
sw_F2,115240.41058505765
sw_U,115252.19658168832
sw_U,115264.62552472067
sw_F5,115276.46146375148
sw_F4,115288.4205887826
sw_U,115300.06842521291
sw_U,115311.15401274177
sw_F5,115323.69225757441
sw_F2,115335.96736280635
sw_U,115347.74049453699
sw_U,115359.98717546888
sw_U,115371.35577129846
sw_U,115383.61644733038
sw_F3,115394.89029975972
sw_F2,115406.73008099053
sw_U,115418.71594322173
sw_U,115430.50705245242
sw_F1,115441.04323907985
sw_F2,115452.61874120997
sw_U,115464.7739940416
sw_F5,115476.40377247188
sw_U,115488.4745049033
sw_F4,115500.36121143424
sw_F5,115512.86237766677
sw_F3,115524.8237200979
sw_F3,115536.46910332823
sw_F2,115548.57645305972
sw_F1,115560.61489729106
sw_U,115572.97527432324
sw_F5,115586.87310405941
sw_U,115596.36736288412
sw_F1,115607.74194111374
sw_U,115619.36955654398
