LABEL,FINAL
sw_Move1,100300.2226
sw_Move2,100312.7226
sw_Move3,100325.6559
sw_F4,100339.255
sw_U,100352.5893
sw_F1,100364.0518
sw_F5,100374.8893
sw_U,100385.8559
sw_U,100399.8893
sw_U,100411.1226
sw_F3,100422.4893
sw_U,100434.2893
sw_U,100446.0332
sw_F1,100457.1635
sw_U,100481.2635
sw_U,100492.2969
sw_U,100502.7635
sw_F4,100514.3969
sw_F1,100526.1302
sw_U,100537.5969
sw_F2,100549.3149
sw_U,100560.4815
sw_F5,100571.9482
sw_F1,100583.1149
sw_U,100594.1815
sw_F1,100606.3149
sw_F3,100618.2149
sw_U,100630.5149
sw_U,100641.8482
sw_U,100653.2815
sw_F3,100665.1149
sw_F4,100676.6149
sw_U,100688.3149
sw_F2,100699.8482
sw_F4,100712.1482
sw_U,100724.3482
sw_U,100735.5482
sw_U,100748.1238
sw_F4,100759.5905
sw_U,100770.9571
sw_F3,100782.6905
sw_U,100794.8238
sw_U,100806.3238
sw_U,100818.3338
sw_U,100829.8571
sw_F2,100841.2238
sw_F4,100852.7238
sw_U,100863.8571
sw_F3,100875.5905
sw_F2,100886.8905
sw_U,100898.7571
sw_U,100910.4571
sw_F5,100922.9238
sw_U,100934.7571
sw_F4,100946.3571
sw_U,100957.7571
sw_F5,100970.1571
sw_F2,100982.3238
sw_U,100993.8571
sw_U,101006.4905
sw_U,101017.8571
sw_U,101029.9571
sw_F3,101041.3571
sw_F2,101052.9571
sw_U,101065.2571
sw_U,101076.8905
sw_F1,101087.5238
sw_F2,101099.1571
sw_U,101111.2238
sw_F5,101122.9571
sw_U,101135.1238
sw_F4,101146.6994
sw_F5,101159.4994
sw_F3,101171.0327
sw_F5,101183.0327
sw_F2,101194.866
sw_F1,101207.4227
sw_U,101219.366
sw_F5,101230.5994
sw_U,101242.4427
sw_F1,101253.9327
sw_U,101265.8994
