trial_index,bad_channels
0,Cz
1,Cz
2,Cz
3,Cz
4,Cz
5,"Cz,Pz,P7,P8,O1,O2"
6,Cz
7,"Cz,Pz,P7,P8,O1,O2"
8,Cz
9,"Cz,Pz,P7,P8,O1,O2"
10,Cz
11,Cz
12,Cz
13,Cz
14,Cz
16,Cz
17,Cz
18,Cz
19,Cz
20,Cz
21,Cz
22,Cz
23,Cz
24,Cz
25,Cz
27,Cz
28,Cz
29,Cz
31,Cz
32,Cz
33,Cz
34,Cz
35,Cz
36,Cz
37,Cz
38,Cz
39,Cz
40,Cz
41,Cz
42,Cz
43,Cz
45,Cz
47,Cz
48,Cz
49,Cz
50,Cz
51,Cz
52,Cz
53,Cz
54,Cz
55,"Cz,Pz,P7,P8,O1,O2"
56,Cz
57,Cz
58,Cz
59,Cz
61,Cz
63,Cz
64,Cz
65,Cz
66,Cz
67,Cz
68,Cz
70,Cz
71,Cz
72,Cz
73,Cz
74,"Cz,Pz,P7,P8,O1,O2"
75,Cz
76,Cz
77,Cz
78,"Cz,Pz,P7,P8,O1,O2"
79,Cz
80,Cz
81,Cz
