label,lsl_time
FaceProxy_0,100168.72032735782
FaceProxy_0,100177.77257849117
FaceProxy_0,100180.1927194251
FaceProxy_0,100191.36310286282
FaceProxy_0,100191.91567005374
FaceProxy_0,100192.74776275031
FaceProxy_0,100232.00680255915
FaceProxy_0,100241.55607912914
FaceProxy_0,100242.12429541876
FaceProxy_1,100263.88225694616
FaceProxy_0,100270.86094451176
FaceProxy_0,100274.20038737157
FaceProxy_0,100278.44274270139
FaceProxy_0,100287.59097941799
FaceProxy_0,100339.25499795398
FaceProxy_0,100340.88932209052
FaceProxy_0,100343.98189371286
FaceProxy_0,100355.90103546149
FaceProxy_0,100364.05180512469
FaceProxy_0,100375.55445315389
FaceProxy_0,100377.69229267038
FaceProxy_0,100388.88197157618
FaceProxy_0,100400.68656341272
FaceProxy_0,100401.98814675347
FaceProxy_0,100403.02199740843
FaceProxy_0,100404.65881413814
FaceProxy_0,100408.0168688552
FaceProxy_0,100409.70222240701
FaceProxy_0,100414.760828026
FaceProxy_0,100423.26016096665
FaceProxy_0,100424.74743639104
FaceProxy_0,100503.30988377071
FaceProxy_0,100503.52490747832
FaceProxy_0,100506.01568282091
FaceProxy_0,100526.45412906415
FaceProxy_0,100526.92083843763
FaceProxy_0,100528.64069300253
FaceProxy_0,100584.27741698948
FaceProxy_0,100586.447508418
FaceProxy_0,100642.71874378718
FaceProxy_0,100665.91232755315
FaceProxy_0,100667.02915575104
FaceProxy_0,100680.7710002847
FaceProxy_0,100741.65244740421
FaceProxy_0,100842.23769705067
FaceProxy_0,100858.30035348903
FaceProxy_0,100869.60561469453
FaceProxy_0,100869.63945884649
FaceProxy_0,100876.51999448278
FaceProxy_0,100998.81343431828
FaceProxy_0,101088.84750225146
FaceProxy_0,101101.18648995142
FaceProxy_0,101101.63537597418
FaceProxy_0,101115.1633262997
FaceProxy_0,101124.18148003113
FaceProxy_0,101183.65687615017
FaceProxy_0,101208.3669921254
FaceProxy_0,101209.06774902878
FaceProxy_0,101211.57222133146
FaceProxy_0,101254.20186556414
FaceProxy_0,101255.05542700879
FaceProxy_0,101256.35740846877
FaceProxy_0,101257.39357301504
FaceProxy_0,101269.81686108708
FaceProxy_0,101270.11683757899
FaceProxy_0,101272.92173432618
