label,lsl_time
sw_Move1,100300.90611420307
sw_Move2,100312.84578443872
sw_Move3,100325.72905517722
sw_F4,100339.63449491875
sw_U,100352.56516195736
sw_F1,100364.36114599259
sw_F5,100375.09915122467
sw_U,100385.7959493566
sw_U,100399.93026479884
sw_U,100411.035269432
sw_F3,100422.43352186604
sw_U,100434.34498440161
sw_U,100446.07075063665
sw_F1,100457.3425522703
sw_U,100481.40675584218
sw_U,100492.13991207424
sw_U,100503.1746571072
sw_F4,100514.57664344125
sw_F1,100526.22669637605
sw_U,100537.8592112108
sw_F2,100549.55777694574
sw_U,100560.7295742791
sw_F5,100571.82178881223
sw_F1,100583.0256208457
sw_U,100594.24615397921
sw_F1,100606.05642801449
sw_F3,100618.20779865078
sw_U,100630.47993388743
sw_U,100641.94313722168
sw_U,100653.11385195504
sw_F3,100665.03475769064
sw_F4,100676.9380547262
sw_U,100688.14651635967
sw_F2,100699.78886829445
sw_F4,100712.04961843106
sw_U,100724.21068066738
sw_U,100735.60849590144
sw_U,100748.15290113889
sw_F4,100759.8379116738
sw_U,100771.01049750717
sw_F3,100782.83350114248
sw_U,100794.54175867746
sw_U,100806.47063681307
sw_U,100818.06740184771
sw_U,100829.76502048265
sw_F2,100841.16691741672
sw_F4,100852.75420615132
sw_U,100863.98558678487
sw_F3,100875.57275811947
sw_F2,100886.8628406532
sw_U,100898.67833008849
sw_U,100910.2708972231
sw_F5,100922.60156375993
sw_U,100934.6406707959
sw_F4,100946.45660083118
sw_U,100957.86871296528
sw_F5,100969.97501160143
sw_F2,100982.26862323815
sw_U,100994.1712892737
sw_U,101006.21626670967
sw_U,101017.6682065439
sw_U,101029.8241622802
sw_F3,101041.5096956151
sw_F2,101053.00829184943
sw_U,101064.84180438478
sw_U,101076.95548112095
sw_F1,101087.7849462533
sw_F2,101099.16180578728
sw_U,101111.10461582296
sw_F5,101122.78565835784
sw_U,101134.9236914941
sw_F4,101146.6364655291
sw_F5,101159.43440296731
sw_F3,101170.70175180097
sw_F5,101182.97251883762
sw_F2,101194.82507327301
sw_F1,101207.11515310973
sw_U,101219.27645504604
sw_F5,101230.31906017903
sw_U,101242.34753841495
sw_F1,101254.13885775016
sw_U,101265.84486958514
