label,lsl_time,FINAL
sw_FamA1,119235.0287,119234.8642
sw_FamA2,119254.9775,119254.9653
sw_FamA3,119276.1579,119276.1995
sw_FamA4,119298.1761,119298.3859
sw_FamA5,119321.6456,119322.0836
sw_FamB1,119354.9291,119353.9767
sw_FamB2,119369.6373,119369.7236
sw_FamB3,119388.9067,119387.7401
sw_FamB4,119406.5206,119406.5728
sw_FamB5,119423.0541,119423.1605
sw_FamC1,119448.6034,119448.7581
sw_FamC2,119465.1866,119465.0318
sw_FamC3,119477.7991,119477.9975
sw_FamC4,119506.1449,119505.9897
sw_FamC5,119521.538,119521.775
sw_FamD1,119540.4564,119540.3038
sw_FamD2,119557.0115,119557.1533
sw_FamD3,119573.9425,119573.9442
sw_FamD4,119588.3755,119588.8601
sw_FamD5,119606.6473,119606.8695
sw_FamE1,119632.8441,119632.5556
sw_FamE2,119647.9529,119848.6861
sw_FamE3,119664.785,119665.3654
sw_FamE4,119680.3621,119680.5152
sw_FamE5,119694.8986,119695.2729
sw_FamF1,119720.0143,119719.8228
sw_FamF2,119734.493,119733.8495
sw_FamF3,119748.4547,119748.8637
sw_FamF4,119766.9189,119767.0564
sw_UnA1,57948.70416,57948.32845
sw_UnA2,57968.93754,57968.92918
sw_UnA3,57982.85045,57982.78413
sw_UnB2,380.3313141,380.32463
sw_UnB3,395.8840391,395.997452
sw_UnC1,411.1082137,411.658428
sw_UnC2,424.9485988,425.298727
sw_UnC3,437.4182058,437.682054
sw_UnD1,454.4354125,454.312804
sw_UnD2,465.3471885,465.309396
sw_UnD3,475.0298965,475.238948
sw_UnE1,489.3457737,489.253587
sw_UnE2,499.699153,500.030802
sw_UnE3,510.1099521,510.450359
sw_UnF1,522.9041037,523.311663
sw_UnF2,533.3793517,533.877038
sw_UnF3,543.65574,543.968263
sw_UnG1,561.9758263,562.26569
sw_UnG2,571.3475747,571.450884
sw_UnG3,582.179605,582.339567
sw_UnH1,597.9715733,598.248434
sw_UnH2,608.3112897,608.362325
sw_UnH3,617.972004,617.882465
sw_UnI1,632.7011415,632.709263
sw_UnI2,643.8604731,643.591754
sw_UnI3,654.6709381,654.429879
sw_UnJ1,671.0252439,671.210937
sw_UnJ2,681.3870241,681.75773
sw_UnJ3,690.277507,690.43446
