lsl_time,video_time,frame_idx,gaze_x,gaze_y,px,py,gaze_radius_px,face_id,x1,y1,x2,y2,event
42102.134582,38.349382,957,0.3186,0.3827,611,413,60,1,631,396,806,598,True
42161.161373,97.376173,2430,0.3183,0.4646,611,501,60,1,629,448,781,670,True
42191.536327,127.751127,3188,0.2437,0.4343,468,469,60,1,462,451,634,672,True
42215.539754,151.754554,3787,0.3594,0.4203,690,453,60,1,627,405,778,606,True
42240.064124,176.278924,4399,0.3614,0.4347,694,469,60,3,622,424,777,634,True
42269.677701,205.892501,5138,0.8173,0.435,1568,469,60,2,1248,488,1576,865,True
42312.034333,248.249133,6195,0.6096,0.3908,1170,422,60,1,1128,459,1344,726,True
42349.341829,285.556629,7126,0.7385,0.4588,1417,495,60,1,1260,516,1503,806,True
42402.437891,338.652691,8451,0.7353,0.4636,1411,500,60,1,1192,496,1410,765,True
42424.07704,360.29184,8991,0.6702,0.3994,1286,431,60,1,1175,484,1383,745,True
42498.131019,434.345819,10839,0.8012,0.62,1538,669,60,1,1334,501,1558,781,True
42525.580681,461.795481,11524,0.5846,0.4768,1122,514,60,1,1088,531,1242,762,True
42557.278028,493.492828,12315,0.6583,0.4379,1263,472,60,1,1175,523,1326,752,True
42572.746012,508.960812,12701,0.7473,0.5158,1434,557,60,1,1287,503,1478,756,True
42582.603847,518.818647,12947,0.6874,0.4447,1319,480,60,1,1247,521,1434,781,True
42600.436109,536.650909,13392,0.8279,0.4336,1589,468,60,1,1361,484,1583,748,True
42620.913156,557.127956,13903,0.8543,0.3933,1639,424,60,1,1431,441,1681,730,True
42640.588753,576.803553,14394,0.7722,0.4772,1482,515,60,1,1388,540,1610,808,True
42677.655815,613.870615,15319,0.6914,0.4289,1327,463,60,1,1264,489,1483,755,True
42868.601274,804.816074,20084,0.8037,0.6928,1542,747,60,1,1489,439,1745,729,True
42903.905146,840.119946,20965,0.6434,0.4694,1235,506,60,1,1193,504,1386,759,True
42932.957708,869.172508,21690,0.7208,0.4585,1383,495,60,1,1254,523,1462,780,True
42944.658877,880.873677,21982,0.7402,0.4865,1420,525,60,1,1256,539,1466,794,True
42951.75171,887.96651,22159,0.7138,0.4726,1370,510,60,1,1254,543,1468,797,True
42959.205195,895.419995,22345,0.7699,0.4759,1477,514,60,1,1270,534,1472,790,True
42974.352599,910.567399,22723,0.7043,0.5029,1352,543,60,1,1277,544,1476,806,True
42990.782324,926.997124,23133,0.7151,0.4683,1372,505,60,1,1275,559,1486,814,True
43008.975239,945.190039,23587,0.7295,0.5152,1400,556,60,1,1310,563,1516,827,True
43025.525181,961.739981,24000,0.7127,0.4753,1368,513,60,1,1277,551,1485,808,True
43050.971218,987.186018,24635,0.6862,0.4636,1317,500,60,1,1257,554,1464,799,True
43066.278912,1002.493712,25017,0.7108,0.6287,1364,678,60,1,1340,563,1505,785,True
43108.274892,1044.489692,26065,0.6882,0.4823,1321,520,60,1,1357,563,1545,779,True
43120.336714,1056.551514,26366,0.7487,0.5458,1437,589,60,1,1280,560,1475,804,True
43137.648034,1073.862834,26798,0.7635,0.4837,1465,522,60,1,1365,567,1540,771,True
43146.664346,1082.879146,27023,0.7526,0.4695,1444,507,60,1,1368,557,1540,762,True
43164.977478,1101.192278,27480,0.7136,0.6354,1369,686,60,1,1420,564,1610,787,True
43172.591253,1108.806053,27670,0.8363,0.6707,1605,724,60,1,1401,564,1594,775,True
43183.61119,1119.82599,27945,0.6835,0.4213,1312,455,60,1,1240,506,1388,705,True
43201.603742,1137.818542,28394,0.6222,0.648,1194,699,60,1,1250,525,1403,747,True
43219.997019,1156.211819,28853,0.6195,0.5365,1189,579,60,1,1241,544,1396,754,True
43264.958363,1201.173163,29975,0.7949,0.3787,1525,409,60,1,1500,417,1769,721,True
43273.734241,1209.949041,30194,0.3659,0.4349,702,469,60,1,726,463,834,587,True
43308.477098,1244.691898,31061,0.2019,0.6043,387,652,60,2,253,427,401,616,True
43338.250965,1274.465765,31804,0.2644,0.5416,507,584,60,2,297,436,447,622,True
43345.784594,1281.999394,31992,0.2248,0.4898,431,528,60,2,280,432,420,622,True
43356.003082,1292.217882,32247,0.1454,0.3487,279,376,60,2,310,380,452,567,True
43359.769897,1295.984697,32341,0.2,0.3041,384,328,60,1,386,377,511,569,True
43373.314401,1309.529201,32679,0.2816,0.3426,540,370,60,1,544,424,665,609,True
43393.230433,1329.445233,33176,0.259,0.587,497,633,60,1,421,412,541,614,True
43409.459796,1345.674596,33581,0.3341,0.5375,641,580,60,1,542,446,664,634,True
43434.505108,1370.719908,34206,0.2089,0.5119,401,552,60,3,311,466,449,662,True
43686.561128,1622.775928,40496,0.3368,0.3906,646,421,60,1,626,466,735,618,True
43708.039987,1644.254787,41032,0.3344,0.4041,642,436,60,1,642,484,749,616,True
43746.229079,1682.443879,41985,0.3489,0.4319,670,466,60,1,633,495,739,644,True
43766.706126,1702.920926,42496,0.3282,0.452,630,488,60,1,604,515,699,639,True
43795.999123,1732.213923,43227,0.3012,0.4513,578,487,60,1,603,504,701,644,True
43814.472545,1750.687345,43688,0.3925,0.4619,753,498,60,1,756,474,868,621,True
43906.479003,1842.693803,45984,0.3665,0.4813,703,519,60,3,590,568,722,726,True
43958.933905,1895.148705,47293,0.3453,0.468,663,505,60,1,544,532,707,731,True
44208.705792,2144.920592,53526,0.4388,0.4889,842,528,60,1,773,527,876,666,True
