lsl_time,video_time,frame_idx,gaze_x,gaze_y,px,py,gaze_radius_px,face_id,x1,y1,x2,y2,event
42102.094509,38.309309,956,0.3048,0.4072,532,544,100,1,655,393,825,605,True
42161.161373,97.376173,2430,0.3183,0.4646,558,639,100,1,644,449,794,664,True
42164.848043,101.062843,2522,0.3326,0.2126,619,368,100,1,587,459,751,665,True
42191.456182,127.670982,3186,0.2124,0.4757,335,591,100,1,462,451,634,673,True
42197.587275,133.802075,3339,0.2891,0.3254,663,393,100,1,515,452,700,653,True
42214.337579,150.552379,3757,0.3232,0.2917,563,465,100,1,648,394,803,602,True
42222.271934,158.486734,3955,0.3409,0.2581,666,366,100,1,619,430,778,644,True
42239.262674,175.477474,4379,0.3122,0.3801,539,532,100,3,604,417,767,620,True
42269.477338,205.692138,5133,0.856,0.5721,1636,535,100,2,1437,493,1823,907,True
42311.593535,247.808335,6184,0.855,0.5304,1583,665,100,1,1437,486,1719,794,True
42314.919552,251.134352,6267,0.7256,0.4059,1308,463,100,1,1262,490,1488,759,True
42315.961437,252.176237,6293,0.79,0.3781,1500,434,100,1,1275,481,1515,765,True
42317.323902,253.538702,6327,0.7471,0.3937,1311,451,100,1,1300,487,1540,766,True
42349.181539,285.396339,7122,0.7401,0.4574,1556,730,100,1,1254,529,1494,812,True
42353.108644,289.323444,7220,0.7402,0.3421,1388,449,100,1,1278,478,1516,766,True
42401.516223,337.731023,8428,0.8238,0.4531,1338,685,100,1,1278,551,1514,834,True
42405.082676,341.297476,8517,0.7452,0.2797,1395,416,100,1,1223,512,1449,747,True
42423.035155,359.249955,8965,0.7389,0.3985,1490,591,100,2,1179,494,1397,758,True
42427.803783,364.018583,9084,0.667,0.2706,1246,408,100,2,1177,482,1382,741,True
42428.925813,365.140613,9112,0.6449,0.169,1247,378,100,1,1304,441,1508,689,True
42457.57765,393.79245,9827,0.6817,0.3313,1348,497,100,1,1037,478,1224,740,True
42461.304392,397.519192,9920,0.5929,0.4459,1070,754,100,1,1058,481,1260,736,True
42462.987437,399.202237,9962,0.5241,0.309,1008,440,100,1,1060,491,1263,742,True
42466.593962,402.808762,10052,0.5738,0.3466,977,451,100,1,1034,503,1227,775,True
42492.200289,428.415089,10691,0.9009,0.3653,1759,480,100,1,1728,566,1914,901,True
42498.050874,434.265674,10837,0.8219,0.5527,1676,632,100,1,1334,501,1558,781,True
42502.178341,438.393141,10940,0.7239,0.3592,1333,461,100,1,1316,522,1512,782,True
42506.065374,442.280174,11037,0.8465,0.2855,1510,370,100,1,1466,439,1751,752,True
42522.495098,458.709898,11447,0.617,0.3428,1211,458,100,1,1096,506,1279,755,True
42524.739158,460.953958,11503,0.5778,0.2904,1086,438,100,1,1088,527,1243,765,True
42548.98302,485.19782,12108,0.6875,0.4114,1372,585,100,1,1148,534,1307,738,True
